GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
traderapi,com.virtusa.traderapi.controllers,BankController,80,3,8,0,16,1,9,1,5,1
traderapi,com.virtusa.traderapi.controllers,TraderController,57,3,4,0,13,1,6,1,4,1
traderapi,com.virtusa.traderapi,TraderapiApplication,5,3,0,0,2,1,1,1,1,1
traderapi,com.virtusa.traderapi.models,FullName,163,18,30,0,3,3,24,3,9,3
traderapi,com.virtusa.traderapi.models,BankTraderInput,80,0,8,0,4,0,12,0,8,0
traderapi,com.virtusa.traderapi.models,BankInput,135,0,22,0,5,0,21,0,10,0
traderapi,com.virtusa.traderapi.models,Trader,269,32,42,0,4,5,30,9,9,9
traderapi,com.virtusa.traderapi.models,Bank,169,3,24,0,5,1,23,1,11,1
traderapi,com.virtusa.traderapi.models,TraderInput,301,0,42,0,9,0,39,0,18,0
traderapi,com.virtusa.traderapi.models,FullNameInput,181,0,30,0,6,0,27,0,12,0
traderapi,com.virtusa.traderapi.configurations,SwaggerConfiguration,0,71,0,0,0,19,0,3,0,3
traderapi,com.virtusa.traderapi.services,TraderService,80,3,6,0,20,1,8,1,5,1
traderapi,com.virtusa.traderapi.services,BankService,49,3,4,0,12,1,7,1,5,1
